Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
4413,1225170015012LSTL0,B70015STKINGLTHM51|B70015STKINGLTHM38,1427,2
4414,1225170015012LSTL0,B70015STKINGLTHM50|B70015STKINGLTHM49,2747,2
4415,1D25213812090FXPC0,B13080R12UXPCHMI06|B13080R12UXPCHMI05,1417,2
4416,1325121715115SLTB0,B2157515BRULTHMI04|B2157515BRULTHMI03,2933,2
4417,1225170015012LSTL0,B70015STKINGLTHM36|B70015STKINGLTHM35,2834,2
4801,1425118916008QRBT0,B18585R16BRUTEGC08|B18585R16BRUTEGC07,2658,2
4802,1325217514082TVECH,B1756514VECTRAGC10|B1756514VECTRAGC03,2646,2
4901,1225170015012LSTL0,B70015STKINGLTGC13|B70015STKINGLTGC01,1479,2
4902,1225170015012LSTL0,B70015STKINGLTHM21|B70015STKINGLTHM07,260,2
4903,1225170015012LSTL0,B70015STKINGLTGC09|B70015STKINGLTGC05,2841,2
4904,1425118916008QRBT0,C18585R16BRUTTGR07|C18585R16BRUTTGR03,1691,2
4906,1325121715115SLTB0,B2157515BRUTLTDC10|B2157515BRUTLTDC09,2941,2
4907,1225170015012LSTL0,B70015STKINGLTHM40|B70015STKINGLTHM39,1773,2
4908,1225221715115SSTL0,B2157515STLKGBHM10|B2157515STLKGBHM07,1848,2
4909,1225170015012LSTL0,B70015STKINGLTGC17|B70015STKINGLTHM16,30,2
4910,1425118916008QRBT0,C18585R16BRUTTDC14|C18585R16BRUTTGR06,2965,2
4911,1325121715100SBRT0,B2157515BRT4LTHM04|B2157515BRT4LTHM01,2564,2
4912,1325121715100SBRT0,B2157515BRT4LTHM02|B2157515BRT4LTHM03,2663,2
4913,1325213612065SULX1,C13570R12ULLXTGR05|C13570R12ULLXTGR04,2554,2
4914,1325213612065SULX1,C13570R12ULLXTGR03|C13570R12ULLXTGR02,999,2
4915,1325217413077TUSP0,B1756013ULSPRTGC02|B1756013ULSPRTGR01,2621,2
4916,1225170015012LSTL0,B70015STKINGLTHM42|B70015STKINGLTHM37,2155,2
4917,1225170015012LSTL0,B70015STKINGLHMI18|B70015STKINGLTHM09,2473,2
