MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
C15570R13NEOTLGC04,"1325215613075TUNE0, 1325215613075TUNE1",3000,FREE
C16565R13TORTLDC09,1325116513077TTOR0,3000,FREE
C16565R13TORTLGR02,1325116513077TTOR0,3000,FREE
C16565R13TORTLGR04,1325116513077TTOR0,3000,FREE
C16565R13TORTLGR05,1325116513077TTOR0,3000,FREE
C16565R13TORTLGR06,1325116513077TTOR0,3000,FREE
C15580R13ULNTLGC01,1325215813079TUNE0,3000,FREE
C15580R13ULNTLGC02,1325215813079TUNE0,3000,FREE
C15580R13ULNTLGC03,1325215813079TUNE0,3000,FREE
C15580R13ULNTLGC04,1325215813079TUNE0,3000,FREE
C15580R13ULNTLGC05,1325215813079TUNE0,3000,FREE
C15580R13ULNTLGC06,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM01,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM02,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM03,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM04,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM05,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM06,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM07,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM08,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM09,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM10,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM11,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM12,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM13,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM14,1325215813079TUNE0,3000,FREE
C15580R13ULNTLHM15,1325215813079TUNE0,3000,FREE
C15565R14NEOTLGC01,1325215514075TUNE0,3000,FREE
C15565R14NEOTLGC02,1325215514075TUNE0,3000,FREE
C15565R14NEOTLHM01,1325215514075TUNE0,3000,FREE
C15565R14NEOTLHM02,1325215514075TUNE0,3000,FREE
C16580R14TORTLGR01,1325216814085STOR0,3000,FREE
C16580R14TORTLGR03,1325216814085STOR0,3000,FREE
C16580R14TORTLGR04,1325216814085STOR0,3000,FREE
C16580R14TORTLGR05,1325216814085STOR0,3000,FREE
C16580R14TORTLGR07,1325216814085STOR0,3000,FREE
C16580R14TORTLGR10,1325216814085STOR0,3000,FREE
C16580R14TORTLGR11,1325216814085STOR0,3000,FREE
C16580R14TORTLGR12,1325216814085STOR0,3000,FREE
C16580R14TORTLGR13,1325216814085STOR0,3000,FREE
C16580R14TORTLGR16,1325216814085STOR0,3000,FREE
C16580R14TORTLGR18,1325216814085STOR0,3000,FREE
C16580R14TORTLGR19,1325216814085STOR0,3000,FREE
C16580R14TORTLGR20,1325216814085STOR0,3000,FREE
C16580R14TORTLGR21,1325216814085STOR0,3000,FREE
C16580R14TORTLGR22,1325216814085STOR0,3000,FREE
C16580R14TORTLGR23,1325216814085STOR0,3000,FREE
C16580R14TORTLGR24,1325216814085STOR0,3000,FREE
C16580R14TORTLGR25,1325216814085STOR0,3000,FREE
C16580R14TORTLGR26,1325216814085STOR0,3000,FREE
C16580R14TORTLGR27,1325216814085STOR0,3000,FREE
C16580R14TORTLGR28,1325216814085STOR0,3000,FREE
C16580R14TORTLGR29,1325216814085STOR0,3000,FREE
C16580R14TORTLGR30,1325216814085STOR0,3000,FREE
C16580R14TORTLMK04,1325216814085STOR0,3000,FREE
C16580R14TORTLMK09,1325216814085STOR0,3000,FREE
C16580R14TORTLMK11,1325216814085STOR0,3000,FREE
C16580R14TORTLMK15,1325216814085STOR0,3000,FREE
