MouldNo,Compatible_SKUs,Life_Remaining,Assigned_Machine
B2556518RATTLHMI01,1325225518115QRAT0,3000,FREE
B2556518RATTLHMI02,1325225518115QRAT0,3000,FREE
B2857516RANMTHMI01,1325228716126KRMT0,3000,FREE
B2857516RANMTHMI02,1325228716126KRMT0,3000,FREE
B70015STKINGLHMI15,"1225170015010LSTL0, 1225170015012LSTL0, 1225170015012NSTL0",3000,FREE
B70015STKINGLHMI16,"1225170015010LSTL0, 1225170015012LSTL0, 1225170015012NSTL0",3000,FREE
B70015STKINGLHMI17,1225170015012LSTL0,3000,FREE
B70015STKINGLHMI18,1225170015012LSTL0,2473,4917
B70015STKINGLHMI19,1225170015012LSTL0,2801,9412
B70015STKINGLHMI20,1225170015012LSTL0,2801,9412
B70015STKINGLHMI21,"1225170015012LSTL0, 1225170015012NSTL0",3000,FREE
B70015STKINGLHMI22,"1225170015012LSTL0, 1225170015012NSTL0",3000,FREE
B70015STKINGLTGC01,"1225170015010LSTL0, 1225170015012LSTL0",1479,4901
B70015STKINGLTGC04,"1225170015010LSTL0, 1225170015012LSTL0",119,4919
B70015STKINGLTGC05,"1225170015010LSTL0, 1225170015012LSTL0",2841,4903
B70015STKINGLTGC06,"1225170015010LSTL0, 1225170015012LSTL0",1583,4410
B70015STKINGLTGC07,"1225170015010LSTL0, 1225170015012LSTL0",2228,9002
B70015STKINGLTGC08,"1225170015010LSTL0, 1225170015012LSTL0",2829,8604
B70015STKINGLTGC09,"1225170015010LSTL0, 1225170015012LSTL0",2841,4903
B70015STKINGLTGC10,"1225170015010LSTL0, 1225170015012LSTL0",2228,9002
B70015STKINGLTGC11,"1225170015010LSTL0, 1225170015012LSTL0",89,8606
B70015STKINGLTGC12,"1225170015010LSTL0, 1225170015012LSTL0",2829,8604
B70015STKINGLTGC13,"1225170015010LSTL0, 1225170015012LSTL0",1479,4901
B70015STKINGLTGC17,"1225170015010LSTL0, 1225170015012LSTL0",30,4909
B70015STKINGLTGC18,"1225170015010LSTL0, 1225170015012LSTL0",3000,FREE
B70015STKINGLTGC19,"1225170015010LSTL0, 1225170015012LSTL0",1915,4923
B70015STKINGLTGC20,"1225170015010LSTL0, 1225170015012LSTL0",2907,4922
B70015STKINGLTHM09,"1225170015010LSTL0, 1225170015012LSTL0",2473,4917
B70015STKINGLTHM10,"1225170015010LSTL0, 1225170015010LSTLE, 1225170015012LSTL0",1524,4918
B70015STKINGLTHM11,"1225170015010LSTL0, 1225170015012LSTL0",2034,9702
B70015STKINGLTHM12,"1225170015010LSTL0, 1225170015012LSTL0",1915,4923
B70015STKINGLTHM13,"1225170015010LSTL0, 1225170015012LSTL0",2577,9201
B70015STKINGLTHM14,"1225170015010LSTL0, 1225170015012LSTL0",2577,9201
B70015STKINGLTHM15,"1225170015010LSTL0, 1225170015012LSTL0",89,8606
